---,0,0.5,1
Damage.Kinetic.Multiplier,1.0,1.0,1.0
Damage.Explosive.Multiplier,1.0,1.0,1.0
Damage.Melee.Multiplier,1.0,1.0,1.0
Damage.Headshot.Multiplier,1.0,1.0,1.0
Damage.Rear.Multiplier,1.0,1.0,1.0
Movement.Sprint.SpeedMultiplier,1.2,1.2,1.2
Shields.Regen.RatePerSecond,60.0,60.0,60.0
Shields.Regen.DelaySeconds,2.5,2.5,2.5
Shields.Regen.PeriodSeconds,0.25,0.25,0.25
Fighter.MaxHealth,100.0,100.0,100.0
Fighter.MaxShields,100.0,100.0,100.0
Grapple.RangeMetres,20.0,20.0,20.0
Grapple.CooldownSeconds,20.0,20.0,20.0
Melee.BaseDamage,70.0,70.0,70.0
Melee.RangeMetres,2.0,2.0,2.0
Melee.SweepRadiusMetres,0.35,0.35,0.35
Melee.RearArcDegrees,90.0,90.0,90.0
Grenade.CookSeconds,2.0,2.0,2.0
Grenade.FuseSeconds,3.0,3.0,3.0
Grenade.ThrowSpeedMetresPerSecond,18.0,18.0,18.0
Grenade.BlastRadiusMetres,3.5,3.5,3.5
Grenade.BlastCentreDamage,130.0,130.0,130.0
Grenade.BlastFalloff,1.0,0.55,0.15
Fighter.MaxGrenades,2.0,2.0,2.0
Grenade.CostPerThrow,1.0,1.0,1.0
Grenade.Bounciness,0.35,0.35,0.35
Grenade.BounceFriction,0.4,0.4,0.4
